title,category,price_inr
Girl in the Blue Coat,Historical Fiction,4940.56
Glory over Everything: Beyond The Kitchen House,Historical Fiction,4836.12
It's Only the Himalayas,Travel,4765.44
A Summer In Europe,Travel,4677.87
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4652.55
The Exiled,Mystery,4583.98
While You Were Mine,Historical Fiction,4359.26
A Paris Apartment,Historical Fiction,4115.55
Neither Here nor There: Travels in Europe,Travel,4109.23
In the Woods (Dublin Murder Squad #1),Mystery,4049.09
