title,category,price_inr,rating
Tastes Like Fear (DI Marnie Rome #3),Mystery,1127.79,1
Hide Away (Eve Duncan #20),Mystery,1249.12,1
The Girl You Lost,Mystery,1296.59,5
Playing with Fire,Mystery,1446.41,3
That Darkness (Gardiner and Renner #1),Mystery,1468.56,1
The Girl In The Ice (DCI Erika Foster #1),Mystery,1672.18,3
The Constant Princess (The Tudor Court #1),Historical Fiction,1753.41,3
A Murder in Time,Mystery,1755.52,1
A Study in Scarlet (Sherlock Holmes #1),Mystery,1765.02,2
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,1790.33,5
