title,price_gbp,price_inr,rating,stock,category
Sharp Objects,47.82,5045.01,4,In stock,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,In stock,Mystery
The Past Never Ends,56.5,5960.75,4,In stock,Mystery
A Murder in Time,16.64,1755.52,1,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,In stock,Mystery
The Last Mile (Amos Decker #2),54.21,5719.15,2,In stock,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,In stock,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.93,5,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,In stock,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,In stock,Mystery
Most Wanted,35.28,3722.04,3,In stock,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,In stock,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.14,3,In stock,Mystery
The Widow,27.26,2875.93,2,In stock,Mystery
Playing with Fire,13.71,1446.41,3,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.89,4,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,In stock,Mystery
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,In stock,Mystery
The Silkworm (Cormoran Strike #2),23.05,2431.78,5,In stock,Mystery
The Exiled,43.45,4583.98,3,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,In stock,Mystery
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,In stock,Mystery
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,In stock,Mystery
The Girl You Lost,12.29,1296.59,5,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.17,3,In stock,Mystery
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,In stock,Mystery
1st to Die (Women's Murder Club #1),53.98,5694.89,1,In stock,Mystery
