title,category,price_gbp,price_inr,rating,in_stock
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5858.42,5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,1
A Time of Torment (Charlie Parker #14),Mystery,48.35,5100.92,5,1
While You Were Mine,Historical Fiction,41.32,4359.26,5,1
The Red Tent,Historical Fiction,35.66,3762.13,5,1
Mrs. Houdini,Historical Fiction,30.25,3191.38,5,1
The Passion of Dolssa,Historical Fiction,28.32,2987.76,5,1
"1,000 Places to See Before You Die",Travel,26.08,2751.44,5,1
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,2676.54,5,1
The Silkworm (Cormoran Strike #2),Mystery,23.05,2431.78,5,1
