title,category,rating,price_inr
The Girl You Lost,Mystery,5,1296.59
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,1790.33
Between Shades of Gray,Historical Fiction,5,2193.34
Voyager (Outlander #3),Historical Fiction,5,2222.89
The Silkworm (Cormoran Strike #2),Mystery,5,2431.78
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,2676.54
"1,000 Places to See Before You Die",Travel,5,2751.44
The Passion of Dolssa,Historical Fiction,5,2987.76
Mrs. Houdini,Historical Fiction,5,3191.38
The Red Tent,Historical Fiction,5,3762.13
