title,category,rating,price_inr
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,5858.42
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,5517.65
A Time of Torment (Charlie Parker #14),Mystery,5,5100.92
While You Were Mine,Historical Fiction,5,4359.26
The Red Tent,Historical Fiction,5,3762.13
Mrs. Houdini,Historical Fiction,5,3191.38
The Passion of Dolssa,Historical Fiction,5,2987.76
"1,000 Places to See Before You Die",Travel,5,2751.44
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,2676.54
The Silkworm (Cormoran Strike #2),Mystery,5,2431.78
Voyager (Outlander #3),Historical Fiction,5,2222.89
Between Shades of Gray,Historical Fiction,5,2193.34
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,1790.33
The Girl You Lost,Mystery,5,1296.59
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,6087.35
A Year in Provence (Provence #1),Travel,4,6000.84
The Past Never Ends,Mystery,4,5960.75
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,5734.98
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,5214.86
Sharp Objects,Mystery,4,5045.01
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,4652.55
A Paris Apartment,Historical Fiction,4,4115.55
World Without End (The Pillars of the Earth #2),Historical Fiction,4,3478.34
The Marriage of Opposites,Historical Fiction,4,2962.44
Lost Among the Living,Historical Fiction,4,2922.35
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4,2616.4
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,2203.9
