title,category,price_inr,rating
Boar Island (Anna Pigeon #19),Mystery,6275.14,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,6087.35,4
A Year in Provence (Provence #1),Travel,6000.84,4
The Past Never Ends,Mystery,5960.75,4
The Last Painting of Sara de Vos,Historical Fiction,5860.52,2
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5858.42,5
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,5734.98,4
The Last Mile (Amos Decker #2),Mystery,5719.16,2
1st to Die (Women's Murder Club #1),Mystery,5694.89,1
Tipping the Velvet,Historical Fiction,5669.57,1
